BR_code,date_time,start_wt,end_wt,diff_wt
BR7-01111,2015/7/17 00:00:00,4916,4916,0
BR7-01111,2015/7/18 00:00:00,4869,4869,0
BR7-01111,2015/7/19 00:00:00,4783,4863,80
BR7-01111,2015/7/20 00:00:00,4775,4863,88
BR7-01111,2015/7/21 00:00:00,4770,4863,93
BR7-01111,2015/7/22 00:00:00,4767,4864,97
BR7-01111,2015/7/23 00:00:00,4739,4858,119
BR7-01111,2015/7/24 00:00:00,4713,4866,153
BR7-01111,2015/7/25 00:00:00,4738,4865,127
BR7-01111,2015/7/26 00:00:00,4705,4855,150
BR7-01111,2015/7/27 00:00:00,4698,4866,168
BR7-01111,2015/7/28 00:00:00,4704,4863,159
BR7-01111,2015/7/29 00:00:00,4653,4851,198
BR7-01111,2015/7/30 00:00:00,4628,4847,219
BR7-01111,2015/7/31 00:00:00,4612,4842,230
BR7-01111,2015/8/1 00:00:00,4569,4854,285
BR7-01111,2015/8/2 00:00:00,4556,4850,294
BR7-01111,2015/8/3 00:00:00,4481,4858,377
BR7-01111,2015/8/4 00:00:00,4441,4832,391
BR7-01111,2015/8/5 00:00:00,4430,4852,422
BR7-01111,2015/8/6 00:00:00,4511,4851,340
BR7-01111,2015/8/7 00:00:00,4478,4820,342
BR7-01111,2015/8/8 00:00:00,4395,4845,450
BR7-01111,2015/8/9 00:00:00,4465,4857,392
BR7-01111,2015/8/10 00:00:00,4260,4851,591
BR7-01111,2015/8/11 00:00:00,4603,4861,258
BR7-01111,2015/8/12 00:00:00,4465,4841,376
BR7-01111,2015/8/13 00:00:00,4414,4823,409
BR7-01111,2015/8/14 00:00:00,4437,4830,393
BR7-01111,2015/8/15 00:00:00,4399,4857,458
BR7-01111,2015/8/16 00:00:00,4269,4853,584
BR7-01111,2015/8/17 00:00:00,4687,4852,165
BR7-01111,2015/8/18 00:00:00,4460,4821,361
BR7-01111,2015/8/19 00:00:00,4603,4841,238
BR7-01111,2015/8/20 00:00:00,4531,4818,287
BR7-01111,2015/8/21 00:00:00,4342,4824,482
BR7-01111,2015/8/21 00:00:00,4656,4862,206
BR7-01111,2015/8/22 00:00:00,4750,4858,108
BR7-01111,2015/8/23 00:00:00,4349,4835,486
BR7-01111,2015/8/24 00:00:00,4552,4856,304
BR7-01111,2015/8/25 00:00:00,4616,4849,233
BR7-01111,2015/8/26 00:00:00,4547,4853,306
BR7-01111,2015/8/27 00:00:00,4568,4861,293
BR7-01112,2015/7/17 00:00:00,4935,4935,0
BR7-01112,2015/7/18 00:00:00,4895,4895,0
BR7-01112,2015/7/19 00:00:00,4822,4863,41
BR7-01112,2015/7/20 00:00:00,4786,4862,76
BR7-01112,2015/7/21 00:00:00,4784,4864,80
BR7-01112,2015/7/22 00:00:00,4782,4864,82
BR7-01112,2015/7/23 00:00:00,4767,4860,93
BR7-01112,2015/7/24 00:00:00,4754,4861,107
BR7-01112,2015/7/25 00:00:00,4756,4861,105
BR7-01112,2015/7/26 00:00:00,4732,4856,124
BR7-01112,2015/7/27 00:00:00,4719,4862,143
BR7-01112,2015/7/28 00:00:00,4703,4861,158
BR7-01112,2015/7/29 00:00:00,4685,4853,168
BR7-01112,2015/7/30 00:00:00,4656,4856,200
BR7-01112,2015/7/31 00:00:00,4635,4845,210
BR7-01112,2015/8/1 00:00:00,4579,4851,272
BR7-01112,2015/8/2 00:00:00,4556,4852,296
BR7-01112,2015/8/3 00:00:00,4471,4859,388
BR7-01112,2015/8/4 00:00:00,4416,4831,415
BR7-01112,2015/8/5 00:00:00,4414,4852,438
BR7-01112,2015/8/6 00:00:00,4417,4844,427
BR7-01112,2015/8/7 00:00:00,4439,4828,389
BR7-01112,2015/8/8 00:00:00,4395,4842,447
BR7-01112,2015/8/9 00:00:00,4451,4858,407
BR7-01112,2015/8/10 00:00:00,4257,4852,595
BR7-01112,2015/8/11 00:00:00,4617,4861,244
BR7-01112,2015/8/12 00:00:00,4462,4852,390
BR7-01112,2015/8/13 00:00:00,4457,4846,389
BR7-01112,2015/8/14 00:00:00,4428,4856,428
BR7-01112,2015/8/15 00:00:00,4477,4856,379
BR7-01112,2015/8/16 00:00:00,4293,4862,569
BR7-01112,2015/8/17 00:00:00,4707,4860,153
BR7-01112,2015/8/18 00:00:00,4471,4839,368
BR7-01112,2015/8/19 00:00:00,4633,4860,227
BR7-01112,2015/8/20 00:00:00,4553,4839,286
BR7-01112,2015/8/21 00:00:00,4441,4441,0
BR7-01112,2015/8/21 00:00:00,4324,4853,529
BR7-01112,2015/8/22 00:00:00,4762,4858,96
BR7-01112,2015/8/23 00:00:00,4455,4846,391
BR7-01112,2015/8/24 00:00:00,4628,4862,234
BR7-01112,2015/8/25 00:00:00,4660,4855,195
BR7-01112,2015/8/26 00:00:00,4627,4857,230
BR7-01112,2015/8/27 00:00:00,4707,4860,153
BR7-01113,2015/7/17 00:00:00,4834,4862,28
BR7-01113,2015/7/18 00:00:00,4821,4861,40
BR7-01113,2015/7/19 00:00:00,4779,4863,84
BR7-01113,2015/7/20 00:00:00,4775,4862,87
BR7-01113,2015/7/21 00:00:00,4774,4864,90
BR7-01113,2015/7/22 00:00:00,4772,4865,93
BR7-01113,2015/7/23 00:00:00,4752,4862,110
BR7-01113,2015/7/24 00:00:00,4738,4861,123
BR7-01113,2015/7/25 00:00:00,4743,4863,120
BR7-01113,2015/7/26 00:00:00,4716,4859,143
BR7-01113,2015/7/27 00:00:00,4712,4862,150
BR7-01113,2015/7/28 00:00:00,4707,4859,152
BR7-01113,2015/7/29 00:00:00,4671,4855,184
