"","BR_code","plant","date_time","start_wt","end_wt","diff_wt","spore","rep","plant_name","ASSYST","dpi","ravg","cumsum","mean_ravg","lt_max_bool","lt_max_day"
"1","BR7-01111","1","2015/7/17 00:00:00",4916,4916,0,"1","1","OSR Cracker","Sheff-001",11,NA,0,433.388888888889,NA,18
"2","BR7-01111","1","2015/7/18 00:00:00",4869,4869,0,"1","1","OSR Cracker","Sheff-001",12,26.6666666666667,0,433.388888888889,TRUE,18
"3","BR7-01111","1","2015/7/19 00:00:00",4783,4863,80,"1","1","OSR Cracker","Sheff-001",13,56,80,433.388888888889,TRUE,18
"4","BR7-01111","1","2015/7/20 00:00:00",4775,4863,88,"1","1","OSR Cracker","Sheff-001",14,87,168,433.388888888889,TRUE,18
"5","BR7-01111","1","2015/7/21 00:00:00",4770,4863,93,"1","1","OSR Cracker","Sheff-001",15,92.6666666666667,261,433.388888888889,TRUE,18
"6","BR7-01111","1","2015/7/22 00:00:00",4767,4864,97,"1","1","OSR Cracker","Sheff-001",16,103,358,433.388888888889,TRUE,18
"7","BR7-01111","1","2015/7/23 00:00:00",4739,4858,119,"1","1","OSR Cracker","Sheff-001",17,123,477,433.388888888889,TRUE,18
"8","BR7-01111","1","2015/7/24 00:00:00",4713,4866,153,"1","1","OSR Cracker","Sheff-001",18,133,630,433.388888888889,TRUE,18
"9","BR7-01111","1","2015/7/25 00:00:00",4738,4865,127,"1","1","OSR Cracker","Sheff-001",19,143.333333333333,757,433.388888888889,TRUE,18
"10","BR7-01111","1","2015/7/26 00:00:00",4705,4855,150,"1","1","OSR Cracker","Sheff-001",20,148.333333333333,907,433.388888888889,TRUE,18
"11","BR7-01111","1","2015/7/27 00:00:00",4698,4866,168,"1","1","OSR Cracker","Sheff-001",21,159,1075,433.388888888889,TRUE,18
"12","BR7-01111","1","2015/7/28 00:00:00",4704,4863,159,"1","1","OSR Cracker","Sheff-001",22,175,1234,433.388888888889,TRUE,18
"13","BR7-01111","1","2015/7/29 00:00:00",4653,4851,198,"1","1","OSR Cracker","Sheff-001",23,192,1432,433.388888888889,TRUE,18
"14","BR7-01111","1","2015/7/30 00:00:00",4628,4847,219,"1","1","OSR Cracker","Sheff-001",24,215.666666666667,1651,433.388888888889,TRUE,18
"15","BR7-01111","1","2015/7/31 00:00:00",4612,4842,230,"1","1","OSR Cracker","Sheff-001",25,244.666666666667,1881,433.388888888889,TRUE,18
"16","BR7-01111","1","2015/8/1 00:00:00",4569,4854,285,"1","1","OSR Cracker","Sheff-001",26,269.666666666667,2166,433.388888888889,TRUE,18
"17","BR7-01111","1","2015/8/2 00:00:00",4556,4850,294,"1","1","OSR Cracker","Sheff-001",27,318.666666666667,2460,433.388888888889,TRUE,18
"18","BR7-01111","1","2015/8/3 00:00:00",4481,4858,377,"1","1","OSR Cracker","Sheff-001",28,354,2837,433.388888888889,TRUE,18
"19","BR7-01111","1","2015/8/4 00:00:00",4441,4832,391,"1","1","OSR Cracker","Sheff-001",29,396.666666666667,3228,433.388888888889,FALSE,18
"20","BR7-01111","1","2015/8/5 00:00:00",4430,4852,422,"1","1","OSR Cracker","Sheff-001",30,384.333333333333,3650,433.388888888889,TRUE,18
"21","BR7-01111","1","2015/8/6 00:00:00",4511,4851,340,"1","1","OSR Cracker","Sheff-001",31,368,3990,433.388888888889,TRUE,18
"22","BR7-01111","1","2015/8/7 00:00:00",4478,4820,342,"1","1","OSR Cracker","Sheff-001",32,377.333333333333,4332,433.388888888889,TRUE,18
"23","BR7-01111","1","2015/8/8 00:00:00",4395,4845,450,"1","1","OSR Cracker","Sheff-001",33,394.666666666667,4782,433.388888888889,FALSE,18
"24","BR7-01111","1","2015/8/9 00:00:00",4465,4857,392,"1","1","OSR Cracker","Sheff-001",34,477.666666666667,5174,433.388888888889,FALSE,18
"25","BR7-01111","1","2015/8/10 00:00:00",4260,4851,591,"1","1","OSR Cracker","Sheff-001",35,413.666666666667,5765,433.388888888889,FALSE,18
"26","BR7-01111","1","2015/8/11 00:00:00",4603,4861,258,"1","1","OSR Cracker","Sheff-001",36,408.333333333333,6023,433.388888888889,FALSE,18
"27","BR7-01111","1","2015/8/12 00:00:00",4465,4841,376,"1","1","OSR Cracker","Sheff-001",37,347.666666666667,6399,433.388888888889,TRUE,18
"28","BR7-01111","1","2015/8/13 00:00:00",4414,4823,409,"1","1","OSR Cracker","Sheff-001",38,392.666666666667,6808,433.388888888889,FALSE,18
"29","BR7-01111","1","2015/8/14 00:00:00",4437,4830,393,"1","1","OSR Cracker","Sheff-001",39,420,7201,433.388888888889,FALSE,18
"30","BR7-01111","1","2015/8/15 00:00:00",4399,4857,458,"1","1","OSR Cracker","Sheff-001",40,478.333333333333,7659,433.388888888889,FALSE,18
"31","BR7-01111","1","2015/8/16 00:00:00",4269,4853,584,"1","1","OSR Cracker","Sheff-001",41,402.333333333333,8243,433.388888888889,FALSE,18
"32","BR7-01111","1","2015/8/17 00:00:00",4687,4852,165,"1","1","OSR Cracker","Sheff-001",42,370,8408,433.388888888889,TRUE,18
"33","BR7-01111","1","2015/8/18 00:00:00",4460,4821,361,"1","1","OSR Cracker","Sheff-001",43,254.666666666667,8769,433.388888888889,TRUE,18
"34","BR7-01111","1","2015/8/19 00:00:00",4603,4841,238,"1","1","OSR Cracker","Sheff-001",44,295.333333333333,9007,433.388888888889,TRUE,18
"35","BR7-01111","1","2015/8/20 00:00:00",4531,4818,287,"1","1","OSR Cracker","Sheff-001",45,335.666666666667,9294,433.388888888889,TRUE,18
"36","BR7-01111","1","2015/8/21 00:00:00",4342,4824,482,"1","1","OSR Cracker","Sheff-001",46,325,9776,433.388888888889,TRUE,18
"37","BR7-01111","1","2015/8/21 00:00:00",4656,4862,206,"1","1","OSR Cracker","Sheff-001",46,265.333333333333,9982,433.388888888889,TRUE,18
"38","BR7-01111","1","2015/8/22 00:00:00",4750,4858,108,"1","1","OSR Cracker","Sheff-001",47,266.666666666667,10090,433.388888888889,TRUE,18
"39","BR7-01111","1","2015/8/23 00:00:00",4349,4835,486,"1","1","OSR Cracker","Sheff-001",48,299.333333333333,10576,433.388888888889,TRUE,18
"40","BR7-01111","1","2015/8/24 00:00:00",4552,4856,304,"1","1","OSR Cracker","Sheff-001",49,341,10880,433.388888888889,TRUE,18
"41","BR7-01111","1","2015/8/25 00:00:00",4616,4849,233,"1","1","OSR Cracker","Sheff-001",50,281,11113,433.388888888889,TRUE,18
"42","BR7-01111","1","2015/8/26 00:00:00",4547,4853,306,"1","1","OSR Cracker","Sheff-001",51,277.333333333333,11419,433.388888888889,TRUE,18
"43","BR7-01111","1","2015/8/27 00:00:00",4568,4861,293,"1","1","OSR Cracker","Sheff-001",52,NA,11712,433.388888888889,NA,18
"44","BR7-01112","1","2015/7/17 00:00:00",4935,4935,0,"1","2","OSR Cracker","Sheff-001",11,NA,0,437.111111111111,NA,18
"45","BR7-01112","1","2015/7/18 00:00:00",4895,4895,0,"1","2","OSR Cracker","Sheff-001",12,13.6666666666667,0,437.111111111111,TRUE,18
